page_url,image_url,name,rank,faculty
http://its.iust.ac.ir/profile/asiaei,https://its.iust.ac.ir/sites/default/files/userpics/picture-9442-1539530565.jpg,دکتر ساسان آسیایی,دانشيار,دانشکده مهندسي مکانيک
http://its.iust.ac.ir/profile/m_ashtiani,https://its.iust.ac.ir/sites/default/files/pictures/picture-1599-1905326981.jpg,مهرداد آشتیانی,استاديار,دانشکده مهندسی کامپیوتر
http://its.iust.ac.ir/profile/m_kermani,https://its.iust.ac.ir/sites/default/files/pictures/picture-3625-11601072.jpg,دکتر مهرداد آقا محمد علی کرمانی,استاديار,دانشکده مهندسي پيشرفت
http://its.iust.ac.ir/profile/haghajani,https://its.iust.ac.ir/sites/default/files/userpics/picture-50032-1600566001.jpg,حسین آقاجانی,دانشيار,دانشکده مواد و متالورژي
http://its.iust.ac.ir/profile/aghajani,https://its.iust.ac.ir/sites/default/files/userpics/picture-132-1544103123.jpg,دکتر اسداله آقاجانی,استاد,دانشکده رياضي
http://its.iust.ac.ir/profile/aghakasiri,https://its.iust.ac.ir/sites/default/files/pictures/picture-1458-157905415.jpg,اسماعیل آقاکثیری,نا مشخص,گروه آموزشي تربيت بدني
http://its.iust.ac.ir/profile/aghahadi,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,زینب آقاهادی,استاديار,دانشکده مهندسی کامپیوتر
http://its.iust.ac.ir/profile/analoui,https://its.iust.ac.ir/sites/default/files/userpics/picture-190-1563182555_0.jpg,دکتر مرتضی آنالویی,دانشيار,دانشکده مهندسی کامپیوتر
http://its.iust.ac.ir/profile/m.ayat,https://its.iust.ac.ir/sites/default/files/userpics/picture-703-1482073716_0.jpg,دکتر مجیدرضا آیت الهی,استاد,دانشکده مهندسي مکانيک
http://its.iust.ac.ir/profile/ayatollahi,https://its.iust.ac.ir/sites/default/files/userpics/picture-235-1531555214_0.jpg,دکتر احمد آیت الهی,استاد,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/ebrahimi,https://its.iust.ac.ir/sites/default/files/pictures/picture-344-898817279.jpg,دکتر محمود ابراهیمی,استاديار,دانشکده مهندسي مکانيک
http://its.iust.ac.ir/profile/ebrahiminejad,https://its.iust.ac.ir/sites/default/files/pictures/picture-13175-409935370.jpg,دکتر سلمان ابراهیمی نژاد رفسنجانی,دانشيار,دانشکده مهندسي خودرو
http://its.iust.ac.ir/profile/abrishamifar,https://its.iust.ac.ir/sites/default/files/userpics/picture-114-1531555078_0.jpg,دکتر سید ادیب ابریشمی فر,دانشيار,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/abolhassani,https://its.iust.ac.ir/sites/default/files/userpics/picture-111-1544103123.jpg,دکتر بهمن ابوالحسنی,دانشيار,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/mrezab,https://its.iust.ac.ir/sites/default/files/pictures/picture-936-1312964307.jpg,دکتر محمدرضا ابوطالبی,استاد,دانشکده مواد و متالورژي
http://its.iust.ac.ir/profile/ahadi,https://its.iust.ac.ir/sites/default/files/userpics/picture-137-1719724660_0.jpg,دکتر حمیدرضا احدی,استاديار,دانشکده مهندسي راه آهن
http://its.iust.ac.ir/profile/akordbacheh,https://its.iust.ac.ir/sites/default/files/pictures/picture-1549-467968265.jpg,دکتر امیرحسین احمدخان کردبچه,دانشيار,دانشکده فيزيک
http://its.iust.ac.ir/profile/a_ahmadi,https://its.iust.ac.ir/sites/default/files/userpics/picture-65-1539530509.jpg,دکتر ابوالفضل احمدی,دانشيار,دانشکده فناوريهای نوين
http://its.iust.ac.ir/profile/ahmadi,https://its.iust.ac.ir/sites/default/files/pictures/picture-10135-684777499.jpg,روح اله احمدی,دانشيار,دانشکده فناوريهای نوين
http://its.iust.ac.ir/profile/ahmadi_reza,https://its.iust.ac.ir/sites/default/files/userpics/picture-16889-1539530565.jpg,دکتر رضا احمدی,دانشيار,دانشکده رياضي
http://its.iust.ac.ir/profile/ahmady,https://its.iust.ac.ir/sites/default/files/userpics/picture-142-1544103123.jpg,دکتر محمود احمدی نژاد,دانشيار,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/ekhlassi,https://its.iust.ac.ir/sites/default/files/pictures/picture-352-1407140985.jpg,دکتر احمد اخلاصی,دانشيار,دانشکده معماري و شهرسازي
http://its.iust.ac.ir/profile/mohammad.akhlaghi,https://its.iust.ac.ir/sites/default/files/pictures/picture-892-1886414775.jpg,دکتر محمد اخلاقی,استاديار,دانشکده مهندسي مکانيک
http://its.iust.ac.ir/profile/a_arjomandi,https://its.iust.ac.ir/sites/default/files/userpics/picture-7349-1539530565.jpg,دکتر عبدالمجید ارجمندی,استاديار,گروه آموزشي معارف اسلامي
http://its.iust.ac.ir/profile/larijani,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,ابراهیم اردشیر لاریجانی,استاديار,دانشکده رياضي
http://its.iust.ac.ir/profile/azhari,https://its.iust.ac.ir/sites/default/files/userpics/picture-240-1531553100_0.jpg,دکتر سیدجواد ازهری,استاد,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/azharivs,https://its.iust.ac.ir/sites/default/files/pictures/picture-241-518263499.jpg,دکتر سید وحید ازهری,استاديار,دانشکده مهندسی کامپیوتر
http://its.iust.ac.ir/profile/rasul_aj,https://its.iust.ac.ir/sites/default/files/pictures/picture-1013-451881258.jpg,رسول اژییان,استاديار,دانشکده فيزيک
http://its.iust.ac.ir/profile/asad,https://its.iust.ac.ir/sites/default/files/userpics/picture-1384-1597136829_0.jpg,دکتر روزبه اسد,استاديار,دانشکده مهندسي راه آهن
http://its.iust.ac.ir/profile/aeskandari,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,عارف اسکندری,استاديار,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/smailzadeh,https://its.iust.ac.ir/sites/default/files/userpics/picture-1201-1531646864_0.jpg,دکتر سید مجید اسماعیل زاده,استاديار,دانشکده مهندسي برق
http://its.iust.ac.ir/profile/mahdi,https://its.iust.ac.ir/sites/default/files/pictures/picture-755-1353325252.jpg,مهدی اسماعیلزاده,استاد,دانشکده فيزيک
http://its.iust.ac.ir/profile/m_esmaeili,https://its.iust.ac.ir/sites/default/files/userpics/picture-714-1697870167_0.jpg,دکتر مرتضی اسماعیلی,استاد,دانشکده مهندسي راه آهن
http://its.iust.ac.ir/profile/eshraghi,https://its.iust.ac.ir/sites/default/files/pictures/picture-364-1551651604.jpg,دکتر همایون اشراقی,دانشيار,دانشکده فيزيک
http://its.iust.ac.ir/profile/mj_ashrafi,https://its.iust.ac.ir/sites/default/files/userpics/picture-24698-1539530565.jpg,دکتر محمد جواد اشرفی,استاديار,دانشکده مهندسي مکانيک
http://its.iust.ac.ir/profile/ashrafi,https://its.iust.ac.ir/sites/default/files/pictures/picture-223-12592052.jpg,دکتر سیدنظام الدین اشرفی زاده,استاد,دانشکده مهندسي شيمي، نفت و گاز
http://its.iust.ac.ir/profile/sauleh,https://its.iust.ac.ir/sites/default/files/userpics/picture-25102-1539530565.jpg,دکتر سیدصالح اعتمادی,استاديار,دانشکده مهندسی کامپیوتر
http://its.iust.ac.ir/profile/aazami_f,https://its.iust.ac.ir/sites/default/files/pictures/picture-7527-353658894.jpg,فرهاد اعظمی,مربي,دانشکده فيزيک
http://its.iust.ac.ir/profile/alamolhoda,https://its.iust.ac.ir/sites/default/files/pictures/picture-3131-739293136.jpg,دکتر سمیه اعلم الهدی,دانشيار,دانشکده مواد و متالورژي
http://its.iust.ac.ir/profile/beftekhari,https://its.iust.ac.ir/sites/default/files/pictures/picture-286-367523599.jpg,دکتر بیژن افتخاری یکتا,استاد,دانشکده مواد و متالورژي
http://its.iust.ac.ir/profile/a_afshar,https://its.iust.ac.ir/sites/default/files/userpics/picture-64-1547371994.jpg,دکتر عباس افشار,استاد,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/mhafshar,https://its.iust.ac.ir/sites/default/files/pictures/picture-842-1013046589.jpg,محمدهادی افشار,دانشيار,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/sh_afshar,https://its.iust.ac.ir/sites/default/files/pictures/picture-1144-1404522354.jpg,دکتر شهرآرا افشار,استاديار,دانشکده شيمي
http://its.iust.ac.ir/profile/hafzali,https://its.iust.ac.ir/sites/default/files/userpics/picture-19632-1539530565.jpg,دکتر حسین افضلی مهر,استاد,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/ali_afkar,https://its.iust.ac.ir/sites/default/files/pictures/picture-3571-1218147802.jpg,علی افکار,نا مشخص,مديريت امور اداري
http://its.iust.ac.ir/profile/zargari,https://its.iust.ac.ir/sites/default/files/pictures/picture-1303-793947531.jpg,دکتر شهریار افندیزاده زرگری,استاد,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/a_akbarzadeh,https://its.iust.ac.ir/sites/default/files/pictures/picture-6716-1764856659.jpg,دکتر علیرضا اکبرزاده,استاديار,دانشکده شيمي
http://its.iust.ac.ir/profile/akbarniya,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,محمد علی اکبرنیا,مربي,دانشکده مهندسي مکانيک
http://its.iust.ac.ir/profile/akbari12,https://its.iust.ac.ir/sites/default/files/userpics/picture-146-1544103123.jpg,دکتر حبیب الله اکبری,دانشيار,دانشکده مهندسي مکانيک
http://its.iust.ac.ir/profile/akbari,https://its.iust.ac.ir/sites/default/files/userpics/picture-145-1544103123.jpg,دکتر احمد اکبری ازیرانی,دانشيار,دانشکده مهندسی کامپیوتر
http://its.iust.ac.ir/profile/emami,https://its.iust.ac.ir/sites/default/files/pictures/picture-356-1662437057.jpg,سیدجواد امامی,مربي,دانشکده معماري و شهرسازي
http://its.iust.ac.ir/profile/amrollahir,https://its.iust.ac.ir/sites/default/files/userpics/picture-31247-1561902155_0.jpg,دکتر رضوانه امراللهی بیوکی,استاديار,دانشکده فيزيک
http://its.iust.ac.ir/profile/amirkhani,https://its.iust.ac.ir/sites/default/files/userpics/picture-30354-1549803891.jpg,دکتر عبدالله امیرخانی شهرکی,دانشيار,دانشکده مهندسي خودرو
http://its.iust.ac.ir/profile/babakamiri,https://its.iust.ac.ir/sites/default/files/userpics/picture-21302-1539530565.jpg,دکتر بابک امیری,استاديار,دانشکده مهندسي صنايع
http://its.iust.ac.ir/profile/vahidaming,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,وحید امین غفاری قره شیران,--------,دانشکده مهندسی کامپیوتر
http://its.iust.ac.ir/profile/famini,https://its.iust.ac.ir/sites/default/files/pictures/picture-397-1273924777.jpg,دکتر فریدون امینی,استاد,دانشکده مهندسي عمران
http://its.iust.ac.ir/profile/h_amini,http://its.iust.ac.ir/sites/all/modules/iust/images/anonymous.png,حامد امینی,استاديار,دانشکده مهندسي پيشرفت
