citation_per_article,documents,academic_rank,faculty,name,url,g_index,h_index
۳۹/۰۱,۱۰۵۹,استاد,مهندسی عمران,علی کاوه,https://scimet.iust.ac.ir/Ali_Kaveh,۱۷۰,۱۰۲
۳۶/۲,۷۸۴,استاد,شیمی,علی ملکی,https://scimet.iust.ac.ir/Ali_Maleki,۱۳۰,۹۱
۵۰/۵۹,۵۲۵,استاد,مهندسی شیمی، نفت و گاز,تورج محمدی,https://scimet.iust.ac.ir/Toraj_Mohammadi,۱۳۶,۸۹
۴۲/۶۱,۵۷۲,استاد,مهندسی مکانیک,مجیدرضا آیت الهی,https://scimet.iust.ac.ir/MajidReza_Ayatollahi,۱۳۵,۸۵
۴۸/۵۴,۳۶۱,دانشیار,مهندسی صنایع,محمدرضا محمدعلیها,https://scimet.iust.ac.ir/MohammadReza_MohammadAliha,۱۲۲,۷۸
۳۸/۱۲,۴۴۳,استاد,مهندسی مکانیک,محمودمهرداد شکریه,https://scimet.iust.ac.ir/MahmoodMehrdad_Shokrieh,۱۱۷,۷۰
۴۰/۷۳,۳۶۴,استاد,مهندسی شیمی، نفت و گاز,مهران رضائی,https://scimet.iust.ac.ir/Mehran_Rezaei,۱۰۰,۶۷
۴۵/۳۶,۲۶۵,استاد,شیمی,صادق رستم نیا,https://scimet.iust.ac.ir/Sadegh_Rostamnia,۹۵,۶۶
۴۶/۷۱,۳۳۱,استاد,مهندسی صنایع,میرسامان پیشوایی,https://scimet.iust.ac.ir/MirSaman_Pishvaee,۱۱۸,۶۱
۴۷/۰۶,۲۳۵,استاد,مهندسی برق,شهرام جدید,https://scimet.iust.ac.ir/Shahram_Jadid,۱۰۰,۵۴
۵۷/۱,۱۴۶,دانشیار,مهندسی مکانیک,مجید سیاوشی,https://scimet.iust.ac.ir/Majid_Siavashi,۹۰,۵۳
۲۲/۴۶,۴۲۴,استاد,مهندسی کامپیوتر,بهروز مینائی,https://scimet.iust.ac.ir/Behrouz_MinaeiBidgoli,۸۷,۵۱
۱۹/۳۷,۴۴۷,استاد,مهندسی شیمی، نفت و گاز,احد قائمی,https://scimet.iust.ac.ir/Ahad_Ghaemi,۷۲,۵۱
۲۹/۹۶,۲۵۴,استاد,شیمی,محمدرضا نعیمی جمال,https://scimet.iust.ac.ir/MohamadReza_NaimiJamal,۷۵,۵۰
۳۳/۲۸,۲۰۸,استادیار,مهندسی مواد و متالورژی,حمیدرضا عابدی,https://scimet.iust.ac.ir/HamidReza_Abedi,۷۱,۴۹
۳۲/۰۶,۱۸۴,استاد,مهندسی شیمی، نفت و گاز,سیدنظام الدین اشرفی زاده,https://scimet.iust.ac.ir/SeyedNezameddin_Ashrafizadeh,۶۸,۴۸
۱۴/۹۲,۸۶۹,دانشیار,مهندسی صنایع,مصطفی جعفری,https://scimet.iust.ac.ir/Mostafa_Jafari,۱۰۱,۴۶
۲۱/۳۲,۲۸۱,استاد,مهندسی مواد و متالورژی,حمیدرضا رضایی,https://scimet.iust.ac.ir/HamidReza_Rezaie,۶۶,۴۶
۱۴/۵۹,۵۲۵,استاد,مهندسی مکانیک,محرم حبیب نژادکواریم,https://scimet.iust.ac.ir/Moharam_HabibnejadKorayem,۶۱,۴۵
۱۹/۵۲,۳۷۵,استاد,مهندسی صنایع,احمد ماکویی,https://scimet.iust.ac.ir/Ahmad_Makui,۷۲,۴۵
۲۲/۸۹,۲۷۹,دانشیار,فناوری های نوین,سیدمرتضی نقیب,https://scimet.iust.ac.ir/SeyedMorteza_Naghib,۶۶,۴۵
۲۹/۰۳,۱۵۸,استاد,مهندسی مکانیک,روح الله طالبی توتی,https://scimet.iust.ac.ir/Roohollah_Talebitooti,۶۲,۴۵
۳۶/۵۶,۲۴۰,استاد,شیمی,منصور انبیا,https://scimet.iust.ac.ir/Mansour_Anbia,۸۸,۴۴
۲۴/۰۴,۲۸۹,استاد,مهندسی صنایع,سیدجعفر سجادی,https://scimet.iust.ac.ir/SeyedJafar_Sadjadi,۷۴,۴۳
۳۰/۳۴,۱۹۵,استاد,مهندسی مواد و متالورژی,سعید قدرت نما شبستری,https://scimet.iust.ac.ir/Saeed_Shabestari,۷۳,۴۳
۲۵/۶۸,۲۰۴,استاد,مهندسی عمران,حسن زیاری,https://scimet.iust.ac.ir/Hassan_Ziari,۶۷,۴۳
۳۱/۹۸,۱۵۸,دانشیار,مهندسی صنایع,سیدمهدی حسینی مطلق,https://scimet.iust.ac.ir/SeyyedMahdi_HosseiniMotlagh,۶۶,۴۳
